,Name,arable,forest,managed_grassland,semi_natural,urban,NA,crop_div,crop_rich,mass_fl_area,mass_fl_pa,EUNIS_div_agg,EUNIS_rich_agg,EUNIS_div,EUNIS_rich
13,FBG6,0.336641931924791,0,0.146787422831258,0.512638111198844,0.00393253404510709,0,0.867214273153559,3,11832.6418726179,1,1.01248266278957,4,1.58756082959755,7
14,FBG7,0.367186002254539,0,0.0137975801570035,0.619016417588457,0,0,1.05611113130704,3,0,0,0.723872249507281,3,0.982317429412924,6
15,FBG8,0,0.191616976043886,0.257452807591175,0.550930216364939,0,0,0,0,0,0,0.994378487201338,3,1.98116247037303,10
16,FBG9,0.951148528721084,0,0.0298858876974323,0.0189655835814835,0,0,0.684782472779085,2,0,0,0.227749801072425,3,0.236888078598984,4
17,GFH1,0.880411468070244,0,0.0255547747259793,0.0468606112373471,0.0471731459664295,0,0.641185583657266,2,69922.671547981,1,0.493326055582944,4,0.554988082022152,7
18,GFH10,0.661952447785142,0.267969308087912,0.0190072000354778,0.0510710440914682,0,0,1.0401543090673,4,0,0,0.853217397311507,4,0.925290084140287,8
19,GFH11,0,0.50886902329095,0.08829194919835,0.4028390275107,0,0,0,0,0,0,0.92433644604998,3,1.40188794362946,7
20,GFH12,0.6784997861705,0.168815637361939,0.0188304851473943,0.133854091320167,0,0,0.693147180559945,2,0,0,0.907465883942145,4,1.12016034506076,7
21,GFH13,0.908661237424003,0,0.0179555190279188,0.0733832435480778,0,0,1.37586369800396,4,53288.7531533609,1,0.350894278368924,3,0.430486328497097,5
22,GFH14,0.945895371524042,0.0130265429131024,0.0163751151460779,0.0247029704167774,0,0,1.30952663309372,4,14399.3253651895,1,0.267914903934442,4,0.280085376519091,5
23,GFH15,0.352376455190109,0.300871754989058,0.0392519990370594,0.307499790783774,0,0,0.693147180559945,2,41317.3754844954,1,1.21863337951025,4,1.90404141762116,10
24,GFH16,0.847934339721329,0.0467886747685229,0.0156137962919474,0.0600271219533783,0.0296360672648228,0,1.33050187944385,4,0,0,0.621224065147613,5,0.693667110910019,8
25,GFH2,0.964968923738186,0,0,0.0350310762618139,0,0,0.689609667890743,2,61601.353190463,1,0.151817537870279,2,0.173231961629562,4
26,GFH3,0.719842878635075,0.00974436875534733,0.247012626722103,0.023400125887474,0,0,0.691805658600741,2,0,0,0.715024691515303,4,0.723865177246363,5
